City,City_Total_Cost,City_Total_Fills,HHI_Revenue,HHI_Fills,Revenue_Weighted_Intensity_Index
CHATTANOOGA,14372853.700000001,338440.80000000005,0.42825325003511483,0.3837279523196298,1026.335943140374
CLARKSVILLE,4895895.53,71822.7,0.6210666807805724,0.3721413662477189,465.14088352335375
COLUMBIA,3236075.82,91905.7,0.411856882748267,0.39162370601937546,955.5586954238294
KNOXVILLE,19305748.93,535641.7000000001,0.40526168218541286,0.40019451513616383,1319.97294299719
LAWRENCEBURG,966807.95,33581.4,0.3813758277779469,0.39819526639361563,811.0840988909395
LEWISBURG,841197.79,20651.0,0.5525935529931454,0.4109970598418973,554.4792677650539
MEMPHIS,13069132.27,312380.60000000003,0.5075472840705579,0.37913591228432547,432.1835976585736
MURFREESBORO,5450838.0200000005,137962.9,0.4136093538478867,0.3942800348983597,693.5887401593836
NASHVILLE,24989741.740000002,594784.0,0.46931106034144926,0.3888397629235616,1266.550675328715
PULASKI,968955.3599999999,22235.9,0.48269544312247087,0.3921607257505836,633.7205355714915
